ID_client;name;cluster;ID_sector;phone;email;register_date;zipcode;state;city;No;street;visit_day
10001-001;Father And Sons Solutions 100;C;201;+001 100 517-2824;Father_And_Sons_Solutions_100@outlook.com;2008-02-13;10001;NY; New York City;125;Main St;1,0
10001-002;Technologic S.A 043;C;201;+001 100 797-6709;Technologic_S.A_043@outlook.com;2003-09-04;10001;NY; New York City;159;11th St;2,0
10001-003;Genius Corporation 064;D;201;+001 100 326-7407;Genius_Corporation_064@outlook.com;2013-01-11;10001;NY; New York City;160;Lake St;3,0
10001-004;Technologic Electronics 027;A;201;+001 100 462-1214;Technologic_Electronics_027@gmail.com.br;2002-12-28;10001;NY; New York City;166;5th St;4,0
10001-005;High Tech World 080;D;201;+001 100 519-1999;High_Tech_World_080@outlook.com;2016-10-30;10001;NY; New York City;184;Hickory St;5,0
10001-006;Alpha Company 053;B;201;+001 100 658-6049;Alpha_Company_053@outlook.com;2013-04-10;10001;NY; New York City;207;11th St;6,0
10001-007;Computer Inc. 022;C;201;+001 100 772-8371;Computer_Inc._022@outlook.com;2014-10-19;10001;NY; New York City;219;Forest St;7,0
10001-008;Computer Company 075;D;201;+001 100 941-9922;Computer_Company_075@gmail.com.br;2007-10-05;10001;NY; New York City;228;2nd St;1,0
10001-009;Essential Solutions 056;C;201;+001 100 777-1996;Essential_Solutions_056@outlook.com;2009-05-25;10001;NY; New York City;271;Washington St;2,0
10001-010;Alpha S.A 022;D;201;+001 100 684-1399;Alpha_S.A_022@gmail.com.br;2020-02-23;10001;NY; New York City;275;Maple St;3,0
10001-011;Essential Company 018;C;201;+001 100 669-6610;Essential_Company_018@gmail.com.br;2010-10-21;10001;NY; New York City;313;Pine St;4,0
10001-012;Alpha Solutions 096;A;201;+001 100 471-3908;Alpha_Solutions_096@outlook.com;2000-01-27;10001;NY; New York City;321;Park St;5,0
10001-013;Essential Techno 084;D;201;+001 100 777-9329;Essential_Techno_084@outlook.com;2012-08-17;10001;NY; New York City;392;Madison St;6,0
10001-014;Technologic Tech 081;C;201;+001 100 310-2594;Technologic_Tech_081@outlook.com;2006-03-05;10001;NY; New York City;408;Washington St;7,0
10001-015;Computer Tech 093;C;201;+001 100 824-7575;Computer_Tech_093@outlook.com;2019-11-01;10001;NY; New York City;410;Washington St;1,0
10001-016;Alpha Store 001;C;201;+001 100 104-6678;Alpha_Store_001@outlook.com;2003-05-26;10001;NY; New York City;413;4th St;2,0
10001-017;Essential Electronics 024;D;201;+001 100 143-4279;Essential_Electronics_024@outlook.com;2017-10-12;10001;NY; New York City;491;West St;3,0
10001-018;Alpha S.A 002;A;201;+001 100 381-6010;Alpha_S.A_002@gmail.com.br;2005-02-17;10001;NY; New York City;516;Lakeview St;4,0
10001-019;High Tech Inc. 099;C;201;+001 100 203-5566;High_Tech_Inc._099@outlook.com;2018-07-19;10001;NY; New York City;517;North St;5,0
10001-020;Technologic Inc. 088;A;201;+001 100 262-5489;Technologic_Inc._088@outlook.com;2001-02-18;10001;NY; New York City;519;Elm St;6,0
